date,market_id,metric_name,primary_value,comparison_value,volume,defect_rate_pct,automation_minutes_saved,quality_score,priority_score
2026-02-01,MKT-DC,paid_search_roi,0.375,0.441,165,0.63,51,85,40
2026-02-01,MKT-DC,paid_social_roi,1.909,1.642,340,0.8,78,91,88
2026-02-01,MKT-DC,organic_social_roi,0.807,0.868,25,0.5,37,85,59
2026-02-01,MKT-DC,driver_referral_roi,2.387,2.259,62,0.49,29,89,45
2026-02-01,MKT-DC,rider_referral_roi,4.004,3.831,131,0.65,12,92,60
2026-02-01,MKT-DC,vehicle_exterior_roi,1.312,1.088,193,1.06,26,90,43
2026-02-01,MKT-DC,in_vehicle_roi,2.982,2.703,154,0.55,71,84,83
2026-02-01,MKT-DC,welcome_drip_roi,-0.182,-0.268,3,0.88,40,82,78
2026-02-01,MKT-DC,winback_drip_roi,0.527,0.509,6,1.37,41,98,83
2026-02-01,MKT-BAL,paid_search_roi,-0.18,-0.159,79,0.99,75,82,73
2026-02-01,MKT-BAL,paid_social_roi,-0.001,0.083,116,1.4,18,84,81
2026-02-01,MKT-BAL,organic_social_roi,1.707,1.828,17,1.36,62,88,94
2026-02-01,MKT-BAL,driver_referral_roi,1.784,1.865,42,0.9,10,89,72
2026-02-01,MKT-BAL,rider_referral_roi,-0.343,-0.39,19,1.11,70,88,69
2026-02-01,MKT-BAL,vehicle_exterior_roi,2.257,2.412,185,1.49,53,95,61
2026-02-01,MKT-BAL,in_vehicle_roi,0.151,-0.033,76,0.94,32,88,69
2026-02-01,MKT-BAL,welcome_drip_roi,-0.616,-0.827,4,0.93,77,82,40
2026-02-01,MKT-BAL,winback_drip_roi,-0.456,-0.729,3,1.1,66,91,62
2026-02-01,MKT-NYC,paid_search_roi,2.488,2.223,613,2.5,77,83,82
2026-02-01,MKT-NYC,paid_social_roi,0.583,0.745,151,2.1,16,89,60
2026-02-01,MKT-NYC,organic_social_roi,0.236,0.164,5,2.23,41,88,77
2026-02-01,MKT-NYC,driver_referral_roi,0.763,0.928,31,2.37,80,85,39
2026-02-01,MKT-NYC,rider_referral_roi,-0.337,-0.347,13,2.46,46,98,35
2026-02-01,MKT-NYC,vehicle_exterior_roi,0.94,1.088,248,2.47,42,91,73
2026-02-01,MKT-NYC,in_vehicle_roi,1.138,0.932,52,2.01,62,90,37
2026-02-01,MKT-NYC,welcome_drip_roi,-1.0,-1.069,1,2.03,27,83,88
2026-02-01,MKT-NYC,winback_drip_roi,-0.333,-0.546,2,2.82,34,89,77
2026-02-01,MKT-MIA,paid_search_roi,1.445,1.531,177,3.0,30,95,36
2026-02-01,MKT-MIA,paid_social_roi,1.832,1.904,259,3.62,21,94,90
2026-02-01,MKT-MIA,organic_social_roi,-0.081,0.009,4,2.86,32,94,56
2026-02-01,MKT-MIA,driver_referral_roi,3.213,3.156,105,3.77,22,90,46
2026-02-01,MKT-MIA,rider_referral_roi,0.355,0.5,35,3.73,32,90,37
2026-02-01,MKT-MIA,vehicle_exterior_roi,2.014,2.119,353,3.26,50,92,77
2026-02-01,MKT-MIA,in_vehicle_roi,1.2,1.133,232,3.03,56,87,74
2026-02-01,MKT-MIA,welcome_drip_roi,-0.048,-0.163,8,3.3,64,88,67
2026-02-01,MKT-MIA,winback_drip_roi,3.089,2.992,27,2.93,38,91,49
2026-02-01,MKT-HOU,paid_search_roi,-0.714,-0.713,72,4.05,32,94,66
2026-02-01,MKT-HOU,paid_social_roi,-0.022,-0.027,174,3.59,74,96,38
2026-02-01,MKT-HOU,organic_social_roi,0.37,0.284,12,4.37,64,98,62
2026-02-01,MKT-HOU,driver_referral_roi,1.425,1.258,101,3.94,38,90,63
2026-02-01,MKT-HOU,rider_referral_roi,-0.251,-0.235,19,3.57,35,84,61
2026-02-01,MKT-HOU,vehicle_exterior_roi,0.053,-0.201,115,3.44,56,97,35
2026-02-01,MKT-HOU,in_vehicle_roi,0.861,0.677,99,4.31,70,89,52
2026-02-01,MKT-HOU,welcome_drip_roi,0.877,0.636,10,4.4,76,82,93
2026-02-01,MKT-HOU,winback_drip_roi,0.489,0.565,8,3.74,66,92,56
2026-02-01,MKT-DFW,paid_search_roi,0.443,0.284,297,3.72,52,89,76
2026-02-01,MKT-DFW,paid_social_roi,0.662,0.789,227,3.79,22,88,64
2026-02-01,MKT-DFW,organic_social_roi,-0.215,-0.094,8,3.98,11,91,71
2026-02-01,MKT-DFW,driver_referral_roi,0.261,0.09,46,4.52,23,83,57
2026-02-01,MKT-DFW,rider_referral_roi,-0.423,-0.431,24,4.03,66,86,62
2026-02-01,MKT-DFW,vehicle_exterior_roi,1.517,1.508,188,4.4,42,92,89
2026-02-01,MKT-DFW,in_vehicle_roi,0.025,0.043,50,3.7,49,87,66
2026-02-01,MKT-DFW,welcome_drip_roi,-0.151,-0.199,3,3.86,38,95,66
2026-02-01,MKT-DFW,winback_drip_roi,1.268,1.362,15,4.36,47,93,65
2026-02-01,MKT-ATL,paid_search_roi,0.035,0.114,198,4.04,32,92,42
2026-02-01,MKT-ATL,paid_social_roi,0.27,0.001,309,4.44,44,85,88
2026-02-01,MKT-ATL,organic_social_roi,-1.0,-0.826,2,4.21,24,97,41
2026-02-01,MKT-ATL,driver_referral_roi,0.063,0.034,14,4.74,59,97,39
2026-02-01,MKT-ATL,rider_referral_roi,0.083,0.083,20,4.51,36,98,59
2026-02-01,MKT-ATL,vehicle_exterior_roi,0.168,-0.093,157,4.02,34,88,51
2026-02-01,MKT-ATL,in_vehicle_roi,-0.438,-0.463,49,3.95,44,91,79
2026-02-01,MKT-ATL,welcome_drip_roi,-0.7,-0.595,3,4.03,36,86,93
2026-02-01,MKT-ATL,winback_drip_roi,-0.573,-0.512,2,4.04,46,94,95
2026-02-01,MKT-GSO,paid_search_roi,-0.578,-0.498,37,2.59,10,90,71
2026-02-01,MKT-GSO,paid_social_roi,-0.363,-0.372,32,3.31,19,97,57
2026-02-01,MKT-GSO,organic_social_roi,-0.678,-0.932,3,3.31,78,83,64
2026-02-01,MKT-GSO,driver_referral_roi,-0.123,-0.239,7,3.04,60,83,47
2026-02-01,MKT-GSO,rider_referral_roi,0.086,-0.159,35,2.94,70,85,36
2026-02-01,MKT-GSO,vehicle_exterior_roi,-0.491,-0.767,49,3.41,67,85,76
2026-02-01,MKT-GSO,in_vehicle_roi,0.121,0.094,69,2.96,26,94,47
2026-02-01,MKT-GSO,welcome_drip_roi,-0.588,-0.766,2,2.77,8,91,81
2026-02-01,MKT-GSO,winback_drip_roi,0.381,0.422,4,3.26,56,96,94
2026-02-02,MKT-DC,paid_search_roi,2.888,2.936,373,0.89,56,94,77
2026-02-02,MKT-DC,paid_social_roi,3.102,2.885,837,1.29,64,85,68
2026-02-02,MKT-DC,organic_social_roi,-0.733,-0.66,4,1.04,58,84,89
2026-02-02,MKT-DC,driver_referral_roi,4.646,4.427,109,0.45,16,89,75
2026-02-02,MKT-DC,rider_referral_roi,3.789,3.776,91,1.11,11,83,55
